Local,Preu,Direcció,Districte,Coordenades,Link,Data
Bar Llusia,"2,00 €","C/ d'Andrade, 53, Sant Martí, 08018 Barcelona",Sant Martí,"41.41251743900398, 2.196292690460221",https://www.google.com/maps/place/Bar+Llusia/data=!4m2!3m1!19sChIJ_eRIUTCjpBIRhgsDzO-w9Pg,3/11/23
El Café de Santi,"2,10 €","Rambla de l'Onze de Setembre, 40, Sant Andreu, 08030 Barcelona",Sant Andreu,"41.42985344644889, 2.193865897127358",https://www.google.com/maps/place/El+Caf%C3%A9+de+Santi/data=!4m2!3m1!19sChIJBT1HdNC8pBIRb9_BCyOVdJI,3/11/23
Snooker,"3,50 €","C/ de Roger de Llúria, 42, L'Eixample, 08009 Barcelona",Eixample,"41.39211043659654, 2.1703972938656597",https://www.google.com/maps/place/Snooker/data=!4m2!3m1!19sChIJx4Umbe6ipBIR816ScIACqUk,4/11/23
Bar Lafuente,"2,30 €","Gran Via de les Corts Catalanes, 931, Sant Martí, 08018 Barcelona",Sant Martí,"41.41017465510055, 2.1950544363542326",https://www.google.com/maps/place/Bar+Lafuente/data=!4m2!3m1!19sChIJS4qSpTqjpBIR_I3iSSeIlbc,9/11/23
GENA'S Bar,"1,90 €","Carrer del Taquígraf Garriga, 193, Les Corts, 08029 Barcelona",Les Corts,"41.390634771304775, 2.140183309731352",https://www.google.com/maps/place/GENA'S+Bar/data=!4m2!3m1!19sChIJv1JZ93mYpBIRqD6gxyjdvVk,16/11/23
La Triunfal,"2,80 €","Pg. de St. Joan, 4, L'Eixample, 08010 Barcelona",Eixample,"41.39184711831014, 2.180088158895469",https://www.google.com/maps/place/La+Triunfal/data=!4m2!3m1!19sChIJMYlDdFSjpBIRhVjo8dGCGug,24/11/23
La Alcoba Azul - Tapas,"3,00 €","C/ de Salomó ben Adret, 14, Ciutat Vella, 08002 Barcelona",Ciutat Vella,"41.382894128546, 2.1755330502165413",https://www.google.com/maps/place/La+Alcoba+Azul+-+Tapas/data=!4m2!3m1!19sChIJ8dubNviipBIRfwWByME5Om0,2/12/23
Bar Marcel Santaló,"2,00 €","Carrer de Santaló, 42, Sarrià-Sant Gervasi, 08021 Barcelona",Sarrià-Sant Gervasi,"41.395997549197716, 2.145519016635264",https://www.google.com/maps/place/Bar+Marcel+Santal%C3%B3/data=!4m2!3m1!19sChIJUVsN-52ipBIR0PZ_Xtr0FRU,5/12/23
gastrocat,"2,50 €","Rda. de Sant Pere, 22, Eixample, 08010 Barcelona",Eixample,"41.389237877878564, 2.17399653189435",https://www.google.com/maps/place/gastrocat/data=!4m2!3m1!19sChIJgQ3-tNqjpBIRD5IHFwa59w8,5/12/23
Sidecar,"3,80 €","Pl. Reial, 7, Ciutat Vella, 08002 Barcelona",Ciutat Vella,"41.380575657524695, 2.1751711194223",https://www.google.com/maps/place/Sidecar/data=!4m2!3m1!19sChIJaygJ41eipBIR_jably1jh5o,9/12/23
